,excess_kurtosis,crash_freq,max_drawdown,final_active
"baseline, recycle",7.089742355041085,25.972222222222225,0.40472091112368513,150.0
"baseline, exit",5.343463926991766,23.611111111111114,0.36851431322644296,145.5
"high leverage, recycle",19.50184436514176,26.527777777777775,0.898654054747913,150.0
"high leverage, exit",13.921472978704465,6.805555555555556,0.3910810508180444,28.0
