,excess_kurtosis,vol_cluster,crash_freq,max_drawdown,hill_left,margin_calls
baseline,7.007764351686056,0.27208632997191934,25.833333333333332,0.41317165030907776,2.3789101715855088,93.8
no loss aversion (lam=1),5.97558511041162,0.30752853438895356,23.500000000000004,0.4180611637064705,2.7912934065462687,157.2
no leverage (cap=1),-0.14942439528717494,0.2498976469357172,0.0,0.19112755656099348,5.771610265684063,0.0
no herding (h=0),6.276398130066517,0.2860824862855713,17.500000000000004,0.38151855898287873,2.8872842204094042,7.6
