,Model (pooled),S&P 500
Excess kurtosis,7.6518162618449175,10.645779836427167
Hill tail (left),2.36922737364401,2.9051058341535163
Hill tail (right),2.791405922117388,2.782967150054212
ACF(returns) lag-1,0.141241316680125,-0.09912083444891776
ACF(|returns|) lag-1,0.3643091190577691,0.28936101841514633
