,S1,S1_conf,ST,ST_conf
loss_aversion,-0.023471566897483198,0.021302125653852682,0.025914562409110692,0.006789386538936054
leverage_cap,0.42679678183713027,0.09853102946597013,0.7633816368154415,0.09688225740298419
herding,0.02672665544811067,0.0540687563100586,0.20371329176669453,0.05200633712024221
impact_omega,0.1373985541659201,0.07243173135433033,0.3224447775247219,0.06201657446976877
ref_adapt,0.1922188116645997,0.07418985415544645,0.37628464655900706,0.06848752330363515
