,S1,S1_conf,ST,ST_conf
loss_aversion,0.009211135089004273,0.025962207951920016,0.046109835602118704,0.027938765292812
leverage_cap,0.3879279746687174,0.14828461911560664,0.9960132326046764,0.49377691223615017
herding,0.018315524170511417,0.03315211382251879,0.2214433163980783,0.1989115986436608
impact_omega,0.24913937641395115,0.24380034537560163,0.6148546258674874,0.27164847663581737
ref_adapt,0.12233473227372893,0.12296412431368635,0.7902398456605515,0.5860174305084195
