horizon,base_rate,leverage_auc,combined_auc
1,0.02677231025854879,0.557145120449282,0.7113882975559206
3,0.06042884990253411,0.6080662234107939,0.6831944358661063
5,0.08184100418410042,0.648294706991244,0.6985675334490404
10,0.13515406162464985,0.710660780768182,0.7647632859357503
20,0.24166666666666667,0.7858377230848479,0.8390132686359413
30,0.34903133903133904,0.8431188274319584,0.869529128629299
