,S1,S1_conf,ST,ST_conf
loss_aversion,0.007934203703835081,0.016275304213001697,0.015466086906061228,0.004961338808418205
leverage_cap,0.4353004838841382,0.11703940113264928,0.7041749436402142,0.09950587837302437
herding,0.031237114463862074,0.04539195486772417,0.15366131710182734,0.04118182509096486
impact_omega,-0.027748116656240315,0.06366301408929965,0.26642192831776695,0.07918202278534509
ref_adapt,0.075595670435482,0.0680369138420547,0.2527955055356165,0.06219854305728361
