,S1,S1_conf,ST,ST_conf
loss_aversion,-0.00034913809322601087,0.01198356924645106,0.008323156054396331,0.0031240530394628504
leverage_cap,0.4089059889231631,0.0901127804849093,0.6076421312376192,0.08934462288037023
herding,0.044404719284181784,0.03621653773438707,0.13362391482838928,0.03712606348097565
impact_omega,0.32838269789046315,0.10914536411927164,0.5112060008441193,0.08347022255438487
ref_adapt,0.02669742490315413,0.0378847724025162,0.12818651025350344,0.030511571697753672
